Period	Frame	Time [s]	player	x	y
1	20404	816.16	18	0.35303	0.05928
1	20404	816.16	19	0.213	0.10206
1	20404	816.16	20	0.38049	0.29437
1	20404	816.16	21	0.30937	0.15086
1	20404	816.16	22	0.30814	0.70411
1	20404	816.16	23	0.23836	0.17325
1	20404	816.16	24	0.2053	0.41799
1	20404	816.16	25	0.80922	0.45372
1	20405	816.2	15	0.49941	0.1486
1	20405	816.2	16	0.5134	0.30769
1	20405	816.2	17	0.47866	0.4535
1	20405	816.2	18	0.3521	0.05966
1	20405	816.2	19	0.21188	0.10191
1	20405	816.2	20	0.37988	0.29353
1	20405	816.2	21	0.30891	0.15011
1	20405	816.2	22	0.30738	0.70288
1	20405	816.2	23	0.23814	0.17318
1	20405	816.2	24	0.2049	0.41809
1	20405	816.2	25	0.80895	0.45361
1	20406	816.24	15	0.49862	0.14807
1	20406	816.24	16	0.513	0.30732
1	20406	816.24	17	0.47864	0.45362
1	20406	816.24	18	0.3512	0.06004
1	20406	816.24	19	0.21084	0.10171
1	20406	816.24	20	0.37929	0.29265
1	20406	816.24	21	0.30848	0.14933
1	20406	816.24	22	0.30666	0.70163
1	20406	816.24	23	0.23793	0.17308
1	20406	816.24	24	0.2045	0.41817
1	20406	816.24	25	0.80869	0.4535
1	20407	816.28	15	0.49783	0.14753
1	20407	816.28	16	0.51259	0.30692
1	20407	816.28	17	0.47862	0.45369
1	20407	816.28	18	0.35031	0.0604
1	20407	816.28	19	0.20983	0.10139
1	20407	816.28	20	0.37872	0.29189
1	20407	816.28	21	0.30808	0.14853
1	20407	816.28	22	0.30598	0.70035
1	20407	816.28	23	0.23772	0.17297
1	20407	816.28	24	0.20411	0.41816
1	20407	816.28	25	0.80845	0.45335
1	20408	816.32	15	0.49704	0.14698
1	20408	816.32	16	0.5122	0.30652
1	20408	816.32	17	0.47862	0.45374
1	20408	816.32	18	0.34941	0.06076
1	20408	816.32	19	0.20888	0.10092
1	20408	816.32	20	0.37816	0.29104
1	20408	816.32	21	0.30772	0.14769
1	20408	816.32	22	0.30533	0.69908
1	20408	816.32	23	0.2375	0.17285
1	20408	816.32	24	0.20372	0.41813
1	20408	816.32	25	0.80822	0.45312
1	20409	816.36	15	0.49626	0.14642
1	20409	816.36	16	0.51183	0.30615
1	20409	816.36	17	0.47862	0.45377
1	20409	816.36	18	0.34854	0.06111
1	20409	816.36	19	0.20799	0.10033
1	20409	816.36	20	0.37762	0.29023
1	20409	816.36	21	0.3074	0.14691
1	20409	816.36	22	0.30471	0.69778
1	20409	816.36	23	0.23727	0.17271
1	20409	816.36	24	0.20334	0.41802
1	20409	816.36	25	0.80798	0.45297
1	20410	816.4	15	0.49547	0.14586
1	20410	816.4	16	0.51146	0.30578
1	20410	816.4	17	0.47864	0.45379
1	20410	816.4	18	0.34768	0.06134
1	20410	816.4	19	0.20715	0.09971
1	20410	816.4	20	0.37709	0.28946
1	20410	816.4	21	0.3071	0.14602
1	20410	816.4	22	0.30413	0.69646
1	20410	816.4	23	0.23702	0.17249
1	20410	816.4	24	0.20297	0.41787
1	20410	816.4	25	0.80773	0.45286
1	20411	816.44	15	0.49469	0.14521
1	20411	816.44	16	0.51111	0.30533
1	20411	816.44	17	0.47866	0.45379
1	20411	816.44	18	0.34685	0.06155
1	20411	816.44	19	0.20636	0.09897
1	20411	816.44	20	0.37659	0.28875
1	20411	816.44	21	0.30681	0.14504
1	20411	816.44	22	0.30356	0.69511
1	20411	816.44	23	0.23678	0.17225
1	20411	816.44	24	0.20265	0.41775
1	20411	816.44	25	0.8075	0.45275
1	20412	816.48	15	0.49391	0.14448
